candidate_id,job_id,total_experience_years,education_level,skills_list,certification_count,project_count,job_fit_label
C00038,J004,,M.Sc,"Go,JavaScript,GCP,Python",,5,0
C00039,J003,3.4,B.Sc,"CSS,Go,Flask,GCP,Kotlin",,4,1
C00040,J003,,Diploma,,1.0,1,0
C00041,J004,3.3,M.Sc,"Angular,HTML,SQL,Docker,Django",0.0,5,0
C00042,J002,,High School,,3.0,6,1
C00043,J004,2.4,High School,"Angular,Go,JavaScript,Swift,HTML,Kubernetes",4.0,6,1
C00044,J003,0.0,B.Tech,"C++,Node.js,Go,React",3.0,5,1
C00045,J003,1.6,PhD,"Flask,Node.js,Docker,Python,CSS",0.0,2,1
C00046,J004,2.1,B.Sc,"C++,Django,React",3.0,6,0
C00047,J004,5.1,M.Sc,"Flask,Angular,Go,Node.js,Django,JavaScript,SQL",0.0,6,0
C00048,J002,3.7,Diploma,"Node.js,Docker,Azure,Django,SQL,Swift",,3,0
C00049,J001,0.0,High School,,3.0,4,1
C00050,J001,,PhD,"Kotlin,AWS,C++",,6,0
C00051,J002,2.2,High School,"Swift,React,Azure,Kotlin,Go,AWS,Docker",2.0,5,1
C00052,J002,,M.Sc,"Node.js,C++,HTML,React",1.0,5,0
C00053,J001,4.2,Diploma,"Django,Go,C++,React,Node.js",5.0,5,0
C00054,J002,5.1,High School,"HTML,Django,Docker",3.0,1,1
C00055,J004,,,"Kubernetes,Java,Swift",5.0,3,1
C00056,J001,1.3,PhD,,2.0,2,1
C00057,J003,2.4,B.Tech,"HTML,Flask,Swift",,4,1
C00058,J001,3.7,,"Flask,SQL,Kotlin,Azure,Python",5.0,5,1
C00059,J004,5.0,PhD,,1.0,3,1
C00060,J002,2.0,,"Django,GCP,Python,Swift",0.0,2,0
C00061,J003,,M.Tech,"Swift,AWS,Docker,React,Go",,2,1
C00062,J001,0.8,B.Tech,"Flask,Azure,Node.js,Python,Django,Angular",2.0,5,1
C00063,J004,0.6,B.Sc,"CSS,React,Kotlin,Docker,Swift",0.0,3,1
C00064,J002,4.6,B.Sc,"JavaScript,Azure,Flask",0.0,4,0
C00065,J002,5.7,High School,"Node.js,Flask,Kotlin,C++,Docker,Swift",5.0,5,1
C00066,J001,2.9,M.Tech,"React,Django,Kubernetes",,1,1
C00067,J002,,M.Sc,"Python,Java,Flask,Docker,Django",2.0,3,1
C00068,J002,,Diploma,"Kubernetes,Kotlin,React",3.0,5,0
C00069,J004,1.7,,"HTML,C++,Go,Angular,Django,Flask,CSS",5.0,3,1
C00070,J002,3.7,B.Sc,"Angular,Docker,Django,GCP,Python,Swift,Flask",,3,0
C00071,J004,6.1,PhD,"React,Angular,Kubernetes,CSS,Node.js",5.0,6,0
C00072,J004,2.9,High School,"Angular,JavaScript,C++,Django,Flask,Kubernetes,CSS",1.0,2,0
C00073,J003,,PhD,"Node.js,AWS,Django,Flask",0.0,4,0
C00074,J004,0.0,PhD,"Angular,C++,Kotlin,Python,Node.js,AWS,Java",,3,1
C00075,J002,4.6,B.Sc,"Kubernetes,GCP,Flask",4.0,2,0
C00076,J001,3.2,,"Java,Django,AWS",0.0,1,0
C00077,J004,,M.Tech,,2.0,1,1
C00078,J003,3.2,M.Tech,,3.0,1,0
C00079,J002,0.0,Diploma,,1.0,3,0
C00080,J002,,,,2.0,2,1
C00081,J001,3.7,,"AWS,Go,Angular",4.0,5,0
C00082,J003,6.0,B.Sc,,,6,0
C00083,J002,2.0,High School,,3.0,5,1
C00084,J002,1.4,B.Sc,"React,Swift,Flask,Go,Kotlin,CSS",,1,1
C00085,J004,2.0,High School,"C++,Kubernetes,Swift",0.0,6,1
C00086,J003,4.8,M.Sc,"Swift,Angular,Kubernetes",,1,1
C00087,J004,3.7,Diploma,"Angular,GCP,Kubernetes",0.0,3,0
C00088,J001,1.9,M.Tech,"Python,HTML,Node.js,Django,Flask",,1,0
C00089,J001,4.0,High School,,,6,1
C00090,J002,,PhD,"Java,C++,Node.js,Go,Swift,React,Django",,4,1
C00091,J004,4.9,M.Tech,,,3,0
C00092,J004,1.6,M.Sc,,3.0,6,0
C00093,J004,2.3,M.Tech,,1.0,5,1
C00094,J002,,B.Sc,"Kotlin,Azure,C++,Kubernetes,Django,Angular,HTML",,3,0
C00095,J003,0.1,B.Tech,,1.0,2,0
C00096,J004,3.6,B.Sc,"Docker,Go,Flask,GCP,JavaScript,React,Java",,4,1
C00097,J004,3.5,B.Sc,"Java,Angular,Django",0.0,6,0
C00098,J001,3.0,,,0.0,3,0
C00099,J004,2.5,M.Tech,,,6,0
C00100,J004,,B.Tech,,2.0,3,1
C00101,J003,2.2,PhD,"Azure,C++,Swift,Kubernetes",2.0,1,1
C00102,J002,2.3,Diploma,"JavaScript,C++,Django,SQL",4.0,5,0
C00103,J002,1.4,Diploma,"Kubernetes,HTML,Go,Java",3.0,3,0
C00104,J002,2.7,,"Django,AWS,CSS,Angular",5.0,5,1
C00105,J002,3.8,,"Kubernetes,JavaScript,Node.js,Java",5.0,4,1
C00106,J003,6.8,High School,"Node.js,Go,Azure,JavaScript",3.0,1,0
C00107,J004,3.3,M.Tech,"React,Kotlin,C++,Angular,Kubernetes",,3,0
C00108,J003,3.5,PhD,"JavaScript,AWS,Go,Python,C++,Azure",,2,0
C00109,J003,2.9,,"SQL,Java,React,Swift,Go",,1,1
C00110,J002,,B.Tech,"Python,Angular,React,Swift,HTML,Flask",5.0,1,1
C00111,J001,2.9,B.Sc,"Java,Kotlin,Angular,Node.js,Python,HTML",0.0,3,0
C00112,J003,3.1,Diploma,,,2,1
C00113,J004,7.9,High School,,2.0,5,1
C00114,J002,2.6,B.Tech,"Java,Flask,Node.js,SQL,Angular",3.0,4,1
C00115,J004,3.6,,"Node.js,C++,Swift,Docker,GCP,Django,AWS",1.0,5,1
C00116,J004,2.9,Diploma,"Angular,Go,Java,Kubernetes,Swift,JavaScript",5.0,1,0
C00117,J002,0.7,High School,,,2,1
C00118,J004,,,"Go,C++,JavaScript,Azure,Angular",3.0,3,1
C00119,J004,4.5,M.Tech,,,5,1
C00120,J001,4.6,B.Sc,"Go,C++,Flask,Angular",5.0,1,1
C00121,J002,1.2,PhD,"Azure,React,SQL,CSS,JavaScript",1.0,4,0
C00122,J002,5.8,M.Tech,"C++,Django,Kotlin",,6,1
C00123,J003,0.2,,"Go,Kubernetes,Azure",2.0,2,0
C00124,J001,4.2,M.Tech,,,2,1
C00125,J002,7.4,M.Sc,"Node.js,JavaScript,Django,C++,HTML,GCP,Go",,2,1
C00126,J001,1.0,M.Sc,"Node.js,CSS,Swift,Python,AWS,Go,Flask",,3,1
C00127,J001,1.9,,"HTML,Go,Swift",3.0,4,0
C00128,J003,,B.Sc,,,2,1
C00129,J004,2.0,PhD,,1.0,4,1
C00130,J004,,,,,4,1
C00131,J003,3.1,,"Kotlin,Angular,Java,Kubernetes,GCP",4.0,5,0
C00132,J003,0.9,,"Kubernetes,SQL,JavaScript,Docker,Kotlin,HTML,AWS",2.0,5,1
C00133,J001,3.9,High School,,1.0,5,0
C00134,J003,1.2,,"Azure,Kubernetes,GCP,AWS,Django",3.0,1,1
C00135,J001,,M.Tech,,4.0,6,1
C00136,J001,1.4,Diploma,"Go,Flask,Swift",1.0,4,0
C00137,J001,2.4,,"Azure,CSS,GCP,Flask",5.0,4,1
C00138,J003,4.6,M.Sc,"Kubernetes,AWS,CSS,React,Node.js",4.0,3,0
C00139,J004,0.5,B.Tech,"Angular,GCP,Node.js,Django,SQL,Azure",5.0,5,1
C00140,J002,3.5,,"Django,C++,Angular",,6,1
C00141,J003,5.6,,"Kubernetes,Docker,React",1.0,1,0
C00142,J001,0.0,M.Sc,,,4,1
C00143,J001,3.4,,"Docker,React,GCP",,6,0
C00144,J001,3.5,PhD,"AWS,HTML,Django,Java,Python,JavaScript",4.0,5,0
C00145,J004,4.6,,"Go,Node.js,CSS,SQL,Flask,C++,Angular",,6,1
C00146,J002,0.5,Diploma,,0.0,2,0
C00147,J004,0.4,PhD,,5.0,2,0
C00148,J003,,M.Sc,"Django,Angular,React",1.0,2,1
C00149,J004,,PhD,"CSS,React,C++,Azure,Go,Node.js,Angular",2.0,1,0
C00150,J002,3.5,Diploma,"Azure,Go,SQL,CSS,AWS",0.0,5,1
C00151,J001,,M.Tech,,1.0,5,0
C00152,J001,1.6,B.Sc,"Django,Swift,HTML",1.0,6,1
C00153,J004,3.5,B.Sc,,,2,1
C00154,J001,,B.Tech,"GCP,Swift,Kubernetes,Kotlin,React,SQL",,3,0
C00155,J004,1.6,M.Tech,"React,CSS,C++",,5,0
C00156,J001,6.7,B.Sc,"React,GCP,CSS,Java,JavaScript,Node.js",,2,1
C00157,J002,3.9,,"React,Swift,Django,Node.js,Java,Azure,GCP",5.0,2,1
C00158,J004,0.6,PhD,"Flask,Swift,Docker,JavaScript,Django,CSS,C++",4.0,4,0
C00159,J001,4.3,M.Tech,"Swift,GCP,Azure,JavaScript,Kotlin,SQL",,2,1
C00160,J002,1.1,High School,,,2,1
C00161,J001,4.6,M.Sc,,2.0,4,1
C00162,J004,,B.Sc,"AWS,Flask,CSS",,3,1
C00163,J004,1.4,B.Tech,"CSS,Flask,React,Kotlin",4.0,2,1
C00164,J004,4.9,M.Sc,"Go,HTML,Angular,Docker,JavaScript,GCP",,4,0
C00165,J001,,,,1.0,6,0
C00166,J001,4.6,,"AWS,Kubernetes,Python,GCP,Swift,Azure,Go",4.0,6,1
C00167,J004,6.8,,"SQL,Kubernetes,Azure,JavaScript",1.0,2,1
C00168,J004,,,,3.0,4,1
C00169,J004,,M.Sc,"Docker,SQL,Azure,Java,React",,6,1
C00170,J001,1.2,Diploma,"Python,CSS,JavaScript,Kotlin,C++",2.0,2,0
C00171,J004,1.4,PhD,"C++,Azure,Angular,Java",0.0,4,0
C00172,J004,2.8,PhD,"Python,Node.js,Go,AWS,React",,5,1
C00173,J003,3.7,PhD,,,6,0
C00174,J003,,,"Node.js,SQL,JavaScript,C++,HTML",3.0,4,1
C00175,J003,4.7,,,,2,0
C00176,J002,,,"Swift,Node.js,Kubernetes,Django",3.0,1,1
C00177,J002,5.9,B.Sc,"JavaScript,Django,Python",3.0,3,1
C00178,J002,2.5,B.Tech,"Kubernetes,CSS,AWS,Flask,HTML",3.0,3,1
C00179,J003,8.4,B.Sc,"Kotlin,Angular,SQL,CSS,HTML",5.0,5,0
C00180,J003,,,"Swift,AWS,JavaScript",5.0,3,0
C00181,J004,,,"Docker,Kotlin,GCP,Azure,Swift,Node.js",,3,0
C00182,J001,0.9,M.Tech,"Flask,Swift,SQL,Python,GCP,JavaScript",1.0,5,0
C00183,J002,4.0,B.Tech,"AWS,SQL,Django",3.0,1,0
C00184,J002,2.6,,"Angular,AWS,SQL,Go,Azure,HTML",0.0,3,0
C00185,J002,4.4,,"Azure,HTML,GCP,Docker",,5,1
C00186,J004,,,,4.0,4,1
C00187,J001,,M.Tech,"GCP,HTML,Angular",2.0,2,1
C00188,J003,1.3,M.Tech,,3.0,5,0
C00189,J001,0.0,M.Sc,"Flask,SQL,React,Django",,2,1
C00190,J004,,B.Sc,"AWS,GCP,HTML,Docker",3.0,3,0
C00191,J001,4.7,B.Sc,"CSS,Kotlin,GCP,Azure",5.0,4,1
C00192,J001,,M.Tech,"React,Django,Java",2.0,2,1
C00193,J001,0.5,M.Tech,,4.0,1,1
C00194,J002,3.3,,"Go,Node.js,Angular",0.0,4,0
C00195,J003,3.8,,"Swift,HTML,JavaScript,CSS,Azure,Kotlin,Python",,3,1
C00196,J003,,PhD,"SQL,JavaScript,Swift,Java,Node.js,GCP,Flask",1.0,6,0
C00197,J004,3.3,B.Sc,"Docker,Node.js,Swift,Kotlin",3.0,1,0
C00198,J004,,B.Sc,,,5,1
C00199,J003,,B.Tech,"Docker,JavaScript,AWS,Flask,Java,Python,GCP",,4,0
C00200,J004,,Diploma,"Django,HTML,Node.js,C++",,3,1
C00201,J003,,,"Swift,C++,SQL,Python",,4,0
C00202,J003,,PhD,,0.0,2,1
C00203,J003,5.1,,"JavaScript,Kubernetes,C++,Azure,Python,Django",5.0,2,1
C00204,J004,0.2,PhD,"C++,SQL,JavaScript,Docker",,6,1
C00205,J001,,,"Kubernetes,Django,Python,Docker,CSS,Node.js,Azure",4.0,2,1
C00206,J004,4.0,,"React,AWS,C++",4.0,1,1
C00207,J003,,,"AWS,C++,Python,Docker",0.0,3,0
C00208,J004,4.0,,"C++,GCP,Docker,JavaScript,Node.js,Java",2.0,1,0
C00209,J001,10.0,B.Tech,"React,Java,Kubernetes,C++,Swift,Docker",,5,0
C00210,J002,,,"HTML,AWS,Angular",,5,1
C00211,J001,5.3,PhD,,4.0,1,1
C00212,J003,,High School,,0.0,5,0
C00213,J002,,,"Angular,Kotlin,JavaScript,HTML,Java,Node.js",5.0,6,1
C00214,J001,,M.Tech,,4.0,1,1
C00215,J003,4.5,High School,"Go,Python,Angular,CSS,Django,AWS,Kotlin",2.0,6,0
C00216,J002,1.5,,"React,JavaScript,Python,Swift,GCP,SQL,Node.js",2.0,6,0
C00217,J003,,High School,"Azure,React,Swift,AWS",0.0,2,1
C00218,J003,,B.Sc,"Docker,SQL,Azure",1.0,6,1
C00219,J002,3.2,,"Flask,Kotlin,Kubernetes,GCP,Go",,2,0
C00220,J001,7.6,Diploma,,1.0,4,1
C00221,J003,0.0,,"Java,CSS,Flask,JavaScript,C++,Angular,SQL",,4,0
C00222,J004,,PhD,,,1,0
C00223,J004,,B.Tech,"Docker,Kubernetes,Node.js",,1,0
C00224,J003,2.1,High School,"Go,Java,HTML",4.0,4,1
C00225,J002,,,,,4,1
C00226,J002,,,"Python,Kotlin,Angular,AWS,Azure,HTML,Django",,3,1
C00227,J003,0.8,High School,"Azure,Angular,React,HTML,SQL,AWS",5.0,2,1
C00228,J002,1.6,,"Angular,HTML,Docker,React,Flask,Kotlin",5.0,6,1
C00229,J002,,M.Tech,,3.0,1,0
C00230,J003,1.5,M.Tech,"JavaScript,Flask,HTML,Docker",0.0,1,0
C00231,J003,3.4,High School,"Kotlin,Docker,SQL,Flask,Django",2.0,2,0
C00232,J003,,,"Kubernetes,Angular,React,HTML,Kotlin,JavaScript,Docker",5.0,3,0
C00233,J001,1.7,,"Flask,React,SQL,AWS,JavaScript,HTML,Angular",,2,1
C00234,J003,,,,5.0,1,1
C00235,J004,,,"AWS,Kotlin,Angular,Docker,SQL,Swift",,5,0
C00236,J003,0.0,B.Tech,,3.0,2,0
C00237,J004,3.4,M.Sc,"Swift,HTML,Kubernetes",1.0,1,0
C00238,J003,,M.Sc,"Django,React,SQL,Java,Kotlin",,5,1
C00239,J004,4.7,,"Python,CSS,HTML",5.0,3,0
C00240,J003,1.4,,,,3,1
C00241,J001,2.8,,,4.0,4,1
C00242,J001,,,"Azure,Docker,JavaScript,SQL,Go,C++,AWS",,2,0
C00243,J002,4.7,PhD,,4.0,3,1
C00244,J004,0.6,,"JavaScript,Kubernetes,SQL,GCP,Azure,Kotlin",2.0,5,1
C00245,J004,2.3,,"Node.js,Kotlin,JavaScript,Docker",,4,1
C00246,J003,2.1,High School,"Django,Kubernetes,Node.js,AWS,SQL",,2,1
C00247,J004,1.7,M.Tech,"CSS,Go,Kubernetes",3.0,6,1
C00248,J002,6.5,,"Azure,Kotlin,JavaScript,Kubernetes,Python",1.0,2,0
C00249,J002,3.8,,"Go,Azure,Kotlin,SQL,Python",1.0,3,1
C00250,J003,0.5,B.Tech,,,1,0
C00251,J002,4.8,M.Sc,"Node.js,Swift,Azure,Python",,1,1
C00252,J003,7.2,M.Tech,"Node.js,Swift,Kotlin,Angular,Go",2.0,2,1
C00253,J001,5.1,M.Tech,,0.0,3,1
C00254,J003,0.0,Diploma,"Azure,React,Java,Kotlin",,3,0
C00255,J004,2.0,B.Sc,"Java,Docker,CSS,Flask,React,Azure",4.0,6,1
C00256,J002,5.5,B.Tech,"AWS,JavaScript,Node.js",,5,0
C00257,J002,,M.Sc,"Swift,Flask,Angular,Node.js,Django",3.0,1,1
C00258,J004,3.9,Diploma,"SQL,Kotlin,Azure,Django,Swift,Python,AWS",1.0,2,0
C00259,J002,,,"C++,AWS,Flask,HTML",,6,0
C00260,J002,1.1,,,3.0,4,1
C00261,J001,2.9,B.Tech,,2.0,2,0
C00262,J003,,B.Tech,"Azure,Kubernetes,Flask,Swift,JavaScript,HTML",,3,0
C00263,J002,1.0,M.Sc,"CSS,Python,Azure,HTML",0.0,3,0
C00264,J001,,,"Python,Java,SQL",,4,1
C00265,J001,,B.Tech,"SQL,Azure,Node.js,JavaScript,Swift,AWS",0.0,5,0
C00266,J003,6.3,,"CSS,Angular,Swift,Django,HTML,Python,Node.js",3.0,2,1
C00267,J004,0.1,Diploma,,,6,0
C00268,J002,,PhD,,3.0,6,0
C00269,J002,3.3,B.Tech,"Go,Node.js,C++,Angular,Flask",1.0,1,1
C00270,J004,5.9,PhD,,3.0,5,1
C00271,J003,,,"JavaScript,AWS,Docker",0.0,4,1
C00272,J002,,M.Sc,"Azure,Kubernetes,SQL,Swift,React",3.0,3,1
C00273,J001,,M.Sc,,,4,1
C00274,J004,1.0,B.Sc,"C++,Go,Docker,GCP",,4,1
C00275,J004,3.9,B.Sc,"GCP,Kubernetes,Python",0.0,5,1
C00276,J003,3.4,B.Tech,"React,Go,Flask",,5,1
C00277,J002,1.8,High School,"Angular,Django,GCP,Azure,Kubernetes",5.0,1,0
C00278,J004,3.1,,"Kubernetes,CSS,Docker,SQL,Kotlin",1.0,4,0
C00279,J001,2.2,PhD,"Go,Docker,Azure,JavaScript,AWS,Python",4.0,6,0
C00280,J002,,M.Sc,"HTML,JavaScript,SQL,Kotlin,Flask,Node.js,CSS",3.0,5,0
C00281,J002,4.3,Diploma,,1.0,5,1
C00282,J002,6.2,M.Tech,,,3,1
C00283,J001,0.5,,"HTML,Django,Node.js,JavaScript,Java",,3,0
C00284,J002,7.3,,"Kotlin,React,Azure,Django,Java,Go,CSS",,4,1
C00285,J004,0.0,PhD,,5.0,2,1
C00286,J001,2.7,,"Swift,Node.js,GCP",2.0,2,0
C00287,J002,,High School,"Flask,Java,Django,AWS",4.0,5,1
C00288,J001,3.6,,"HTML,Swift,GCP,Kotlin,C++,Kubernetes,SQL",1.0,6,1
C00289,J004,1.8,M.Tech,"SQL,Angular,Go",1.0,6,0
C00290,J001,2.6,,"GCP,Django,Python,Azure,Angular",4.0,5,1
C00291,J001,2.0,High School,,1.0,6,0
C00292,J004,,,"JavaScript,Python,Go",5.0,3,0
C00293,J002,4.7,B.Tech,"Kotlin,Go,Kubernetes,Swift,Flask,Python",3.0,6,0
C00294,J001,3.7,,"Angular,Azure,SQL",2.0,6,1
C00295,J001,,B.Sc,"GCP,React,JavaScript,Kotlin",4.0,3,0
C00296,J003,4.8,High School,"GCP,JavaScript,SQL,Java,Python,Django,Go",3.0,5,0
C00297,J004,3.6,M.Sc,"JavaScript,HTML,Docker,React,Node.js,SQL,Java",1.0,6,0
C00298,J001,4.6,B.Tech,"Node.js,SQL,CSS",,5,1
C00299,J003,4.3,,"CSS,Flask,AWS",3.0,3,1
C00300,J004,,Diploma,"Flask,React,Docker",5.0,6,1
C00301,J004,1.9,,"Angular,Django,AWS,SQL,HTML,Flask",,1,1
C00302,J001,4.5,,,,5,1
C00303,J004,4.2,M.Sc,"Angular,Kotlin,React,Django",1.0,4,0
C00304,J002,,PhD,,3.0,3,0
C00305,J001,3.2,M.Sc,"Azure,Angular,Kotlin,AWS",3.0,1,0
C00306,J003,5.6,PhD,"Docker,GCP,HTML,Kotlin,Azure",2.0,5,0
C00307,J003,,PhD,,,2,0
C00308,J003,4.1,M.Tech,"React,Swift,Flask",5.0,1,1
C00309,J004,2.6,,,5.0,5,0
C00310,J004,2.6,M.Tech,"Python,Django,C++,CSS,Go,Docker,React",3.0,2,0
C00311,J002,,M.Tech,"Node.js,HTML,Flask,Go,C++,SQL,CSS",3.0,2,0
C00312,J002,,M.Tech,"HTML,AWS,Java",4.0,5,0
C00313,J001,4.6,PhD,"Azure,Swift,Angular,Java,Docker,SQL",3.0,4,1
C00314,J001,,,"Node.js,AWS,React,C++",,5,1
C00315,J001,,M.Tech,,3.0,3,0
C00316,J004,,M.Tech,"Kubernetes,Node.js,Kotlin,CSS,Swift",4.0,5,1
C00317,J003,2.4,PhD,"JavaScript,SQL,React,Go,HTML,Java",1.0,5,1
C00318,J001,3.6,Diploma,"Python,C++,JavaScript,AWS,Swift,Java",0.0,3,0
C00319,J004,,M.Tech,"Django,Java,HTML,AWS,Go,Python,SQL",5.0,5,1
C00320,J002,3.2,M.Sc,"Angular,React,Python",1.0,1,1
C00321,J001,4.2,M.Sc,,5.0,5,1
C00322,J004,1.4,B.Sc,"Python,Node.js,HTML,Swift,SQL,Docker,Java",4.0,3,1
C00323,J003,7.2,M.Sc,"Kotlin,Docker,AWS,React,Flask,Kubernetes",,6,1
C00324,J004,1.0,,,4.0,5,0
C00325,J003,0.6,,"HTML,AWS,Flask,Angular,CSS,Go,Django",2.0,2,0
C00326,J002,5.3,Diploma,"React,Angular,JavaScript,SQL",,1,1
C00327,J004,4.6,,"Flask,AWS,Node.js,Docker,HTML,Kotlin,GCP",2.0,4,0
C00328,J001,,,"Kotlin,HTML,Go,SQL,GCP",2.0,6,0
C00329,J003,4.3,Diploma,"Node.js,React,Kubernetes,AWS,Flask,HTML,C++",3.0,4,0
C00330,J004,,Diploma,"JavaScript,Docker,React,SQL,Node.js,Kotlin,Azure",4.0,4,1
C00331,J001,1.2,Diploma,,2.0,5,0
C00332,J004,3.2,PhD,"Go,Flask,Node.js",2.0,3,1
C00333,J002,1.6,M.Tech,,3.0,6,1
C00334,J002,,PhD,,,2,1
C00335,J004,2.7,B.Tech,"Angular,Docker,Azure,Go,Swift,C++",1.0,1,0
C00336,J001,,Diploma,"Kotlin,SQL,Docker,C++",,5,0
C00337,J003,2.4,,"C++,Kotlin,Django,React",,6,1
C00338,J001,3.8,M.Sc,"Flask,AWS,Go,Node.js,GCP",1.0,6,0
C00339,J004,,,"Django,Angular,AWS,React,C++,Azure,JavaScript",2.0,4,1
C00340,J002,1.4,B.Tech,"AWS,GCP,Python,Kubernetes,Azure",2.0,1,1
C00341,J002,3.5,,"Swift,Kotlin,React,HTML,Docker,Kubernetes,CSS",1.0,3,0
C00342,J003,3.5,,"Node.js,Swift,CSS,C++,HTML,Azure,JavaScript",,6,1
C00343,J001,,Diploma,,,3,1
C00344,J001,2.1,B.Sc,"Flask,Swift,Django,AWS",,4,0
C00345,J004,3.5,High School,,0.0,6,0
C00346,J002,0.1,,"Azure,CSS,AWS",3.0,6,1
C00347,J001,0.2,,,,6,1
C00348,J002,,,"Docker,AWS,JavaScript",2.0,1,0
C00349,J001,2.6,High School,,1.0,3,1
C00350,J003,,,"Node.js,Java,AWS,Go",4.0,3,1
C00351,J003,6.0,PhD,"GCP,HTML,C++,Azure,JavaScript,React,AWS",2.0,5,1
C00352,J001,4.7,,,1.0,5,1
C00353,J003,,High School,,1.0,2,0
C00354,J004,,M.Sc,"Azure,Docker,Node.js,Java,Angular,SQL",4.0,6,0
C00355,J001,1.0,,,,6,0
C00356,J003,,High School,"Azure,SQL,Docker,React",4.0,4,0
C00357,J004,2.4,,,5.0,6,1
C00358,J003,3.6,M.Sc,"GCP,Go,Angular,Flask",4.0,3,1
C00359,J002,1.3,M.Tech,"CSS,Kotlin,GCP,Node.js,Angular,React,Go",3.0,1,0
C00360,J003,,High School,,,5,0
C00361,J002,,Diploma,"Django,C++,Kotlin,CSS,Docker",5.0,3,1
C00362,J001,2.8,M.Tech,"Java,Docker,Kotlin,C++,Kubernetes",,3,1
C00363,J001,3.8,,,4.0,2,1
C00364,J004,4.4,B.Sc,"Docker,Azure,C++,React,Swift,JavaScript,Kotlin",3.0,2,0
C00365,J003,2.2,,"Azure,Swift,JavaScript,GCP,AWS,Node.js",1.0,4,1
C00366,J002,,Diploma,"Node.js,Swift,Flask",,5,0
C00367,J003,3.0,M.Tech,,4.0,4,0
C00368,J002,,PhD,,4.0,2,1
C00369,J001,1.5,B.Tech,"GCP,CSS,Docker,Azure",2.0,5,1
C00370,J004,,M.Tech,,5.0,5,1
C00371,J003,4.0,M.Sc,"SQL,Python,Django,Kotlin,React",,5,0
C00372,J002,,M.Tech,"GCP,Python,Java,React,Django,HTML",3.0,4,0
C00373,J003,,PhD,"Node.js,Kotlin,Python",,3,0
C00374,J004,,,"React,Swift,Kubernetes,JavaScript,Docker,Azure,Django",2.0,4,0
C00375,J002,,B.Tech,,,6,0
C00376,J003,4.7,B.Sc,,1.0,2,0
C00377,J002,3.4,M.Tech,"React,Python,Angular,C++",5.0,4,0
C00378,J004,,B.Sc,,,3,1
C00379,J002,1.4,B.Sc,"AWS,Flask,Go,React,Swift,CSS,Kotlin",0.0,5,1
C00380,J001,1.3,,"Go,Kubernetes,Java",1.0,5,1
